название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
ДОМОВЕНОК КУЗЯ 2,AK,19.03.26,2452,277 млн,683 тыс,113 тыс,,,2452,276 млн,680 тыс,112 тыс,,,,"1,1 млн",ПН - СР,"комедия, семейный",RUONLY
ДОКТОР ГАФ,CP,19.03.26,1579,25 млн,62 тыс,16 тыс,,,1579,25 млн,62 тыс,16 тыс,,,,,,"комедия, приключения",RUONLY
КАРТИНЫ ДРУЖЕСКИХ СВЯЗЕЙ,PNR,19.03.26,116,10 млн,13 тыс,89 тыс,,,116,"8,2 млн",12 тыс,71 тыс,,,,"2,1 млн",ВС,"комедия, драма",RUONLY
МОИ ТАЕЖНЫЕ КАНИКУЛЫ,SMKT,19.03.26,83,"5,6 млн",13 тыс,67 тыс,,,83,"5,6 млн",13 тыс,67 тыс,,,,,,"приключения, семейный",RUONLY
КОЛОКОЛ НАДЕЖДЫ,KNT,12.03.26,189,754 тыс,"3,5 тыс","4,0 тыс",,,189,754 тыс,"3,5 тыс","4,0 тыс",,,,,,мелодрама,RUONLY
ЖЕМЧУГ,CAO,12.03.26,726,"5,8 млн",13 тыс,"7,9 тыс",,,726,"5,8 млн",13 тыс,"7,9 тыс",,,,,,"комедия, драма",RUONLY
ТЕАТР В КИНО: ПРИНЦ И НИЩИЙ,KAP,12.03.26,39,565 тыс,"1,1 тыс",14 тыс,,,39,565 тыс,"1,1 тыс",14 тыс,,,,,,спектакль,RUONLY
"МОЙ ПАРЕНЬ, МАНЕКЕН",SBF,12.03.26,13,64 тыс,168,"4,9 тыс",,,13,64 тыс,168,"4,9 тыс",,,,,,"приключения, мелодрама, фэнтези",RUONLY
ПРИКОСНОВЕНИЕ. ПЕРЕВЫПУСК,CIPA,12.03.26,34,478 тыс,828,14 тыс,,,34,478 тыс,828,14 тыс,,,,,,"ужасы, триллер, мистика",RUONLY
НОВАЯ ТЕЩА,CP,05.03.26,1956,304 млн,635 тыс,156 тыс,,,1956,140 млн,277 тыс,71 тыс,61 млн,126 тыс,56.36,,,комедия,RUONLY
ЦАРЕВНА-ЛЯГУШКА 2,NKI,05.03.26,2488,319 млн,778 тыс,128 тыс,,,2397,154 млн,362 тыс,64 тыс,67 млн,166 тыс,56.53,"1,9 млн",ПН - СР,"комедия, приключения, семейный",RUONLY
ТЮЛЬПАНЫ,NMG,05.03.26,1917,83 млн,185 тыс,43 тыс,,,1917,56 млн,118 тыс,29 тыс,10 млн,26 тыс,81.48,448 тыс,ВС,комедия,RUONLY
БОЛЬШАЯ ЗЕМЛЯ,VRT,05.03.26,56,"1,5 млн","2,6 тыс",27 тыс,,,51,"1,5 млн","2,6 тыс",30 тыс,,,,,,драма,RUONLY
ГРАНИЦА,KNLG,05.03.26,96,"1,3 млн","3,1 тыс",13 тыс,,,96,696 тыс,"1,6 тыс","7,2 тыс",229 тыс,613,67.12,,,ужасы,RUONLY
К СЕБЕ НЕЖНО,AK,05.03.26,1221,125 млн,254 тыс,103 тыс,,,1199,58 млн,108 тыс,48 тыс,24 млн,50 тыс,58.22,,,"комедия, мелодрама",RUONLY
СПАСТИ БЕССМЕРТНОГО,CKINO,26.02.26,594,"3,7 млн",12 тыс,"6,3 тыс",,,594,"3,7 млн",12 тыс,"6,3 тыс",,,,,,"фантастика, драма, триллер",RUONLY
"ЧЕЛОВЕК, КОТОРЫЙ СМЕЕТСЯ",CP,26.02.26,941,18 млн,39 тыс,19 тыс,,,941,13 млн,26 тыс,14 тыс,"1,4 млн","3,4 тыс",88.86,,,комедия,RUONLY
СЮРПРИЗ ДЛЯ МАМЫ,SMKT,26.02.26,56,127 тыс,415,"2,3 тыс",,,56,127 тыс,415,"2,3 тыс",,,,,,"комедия, семейный",RUONLY
МОЙ ДРУГ,RR,26.02.26,50,310 тыс,781,"6,2 тыс",,,50,310 тыс,781,"6,2 тыс",,,,,,драма,RUONLY
НАУМ. ПРЕДЧУВСТВИЯ,K24,26.02.26,25,"2,1 млн","3,8 тыс",86 тыс,,,25,856 тыс,"1,7 тыс",34 тыс,174 тыс,515,79.68,885 тыс,ВС,документальный,RUONLY
ЦИНГА,VLG,26.02.26,214,"5,4 млн",11 тыс,25 тыс,,,214,"2,9 млн","5,3 тыс",13 тыс,548 тыс,"1,3 тыс",80.88,565 тыс,ПН - СР,"триллер, мистика",RUONLY
МАЛЫШ,CAO,26.02.26,1434,162 млн,369 тыс,113 тыс,,,1434,43 млн,92 тыс,30 тыс,25 млн,55 тыс,41.28,,,военный,RUONLY
МАНГУЛ,KNFT,26.02.26,136,332 тыс,927,"2,4 тыс",,,136,332 тыс,927,"2,4 тыс",,,,,,триллер,RUONLY
ДРАНИКИ,AK,26.02.26,1279,33 млн,84 тыс,26 тыс,,,1279,21 млн,51 тыс,17 тыс,"5,2 млн",14 тыс,75.38,,,комедия,RUONLY
МОЙ ДЕД,WP,26.02.26,313,"2,6 млн","7,3 тыс","8,3 тыс",,,313,"1,6 млн","4,2 тыс","5,0 тыс",275 тыс,902,82.32,,,приключения,RUONLY
БЛОКАДНЫЙ ЗООПАРК,KNT,26.02.26,4,14 тыс,44,"3,5 тыс",,,4,14 тыс,44,"3,5 тыс",,,,,,"документальный, исторический",RUONLY
СЕТЬ,BSD,26.02.26,58,"3,6 млн","9,8 тыс",62 тыс,,,53,"1,4 млн","3,0 тыс",26 тыс,268 тыс,627,80.3,,,документальный,RUONLY
КОРОЛЬ И ШУТ. НАВСЕГДА,NMG,19.02.26,1933,187 млн,384 тыс,97 тыс,,,1933,92 млн,181 тыс,47 тыс,35 млн,71 тыс,62.11,,,"фэнтези, сказка",RUONLY
КРАСАВИЦА,VLG,19.02.26,2208,348 млн,850 тыс,158 тыс,,,2208,106 млн,245 тыс,48 тыс,75 млн,178 тыс,29.47,,,"приключения, драма, исторический",RUONLY
ДОПОЛНИТЕЛЬНОЕ ВРЕМЯ,NKI,19.02.26,1347,20 млн,52 тыс,15 тыс,,,1347,"8,0 млн",20 тыс,"5,9 тыс","3,6 млн",10 тыс,54.75,,,"фантастика, семейный, спорт",RUONLY
КТО-ТО ДОЛЖЕН УМЕРЕТЬ,AK,19.02.26,518,17 млн,33 тыс,33 тыс,,,518,"9,6 млн",18 тыс,19 тыс,"2,9 млн","6,3 тыс",69.87,,,триллер,RUONLY
ГУАНТАНАМЕРА,CP,19.02.26,827,22 млн,51 тыс,27 тыс,,,827,12 млн,26 тыс,14 тыс,"2,8 млн","7,2 тыс",76.31,,,экшн,RUONLY
МУЛЬТ В КИНО. ВЫПУСК №192. ДРУЗЬЯ ИЗ СКАЗКИ,VLG,19.02.26,383,"3,9 млн",20 тыс,10 тыс,,,383,852 тыс,"4,3 тыс","2,2 тыс",1 000 тыс,"5,1 тыс",-17.43,,,анимация,RUONLY
СКАЗКА О ЦАРЕ САЛТАНЕ,AK,12.02.26,2502,"2,1 млрд","4,9 млн",824 тыс,,,2408,676 млн,"1,6 млн",281 тыс,414 млн,980 тыс,38.76,553 тыс,ПН - СР,фэнтези,RUONLY
УВОЛИТЬ ЖОРУ,CP,12.02.26,1917,115 млн,255 тыс,60 тыс,,,1917,64 млн,131 тыс,33 тыс,20 млн,46 тыс,68.9,,,комедия,RUONLY
"СЧАСТЛИВ, КОГДА ТЫ НЕТ",EXP,12.02.26,374,"9,0 млн",17 тыс,24 тыс,,,374,"6,0 млн",10 тыс,16 тыс,613 тыс,"1,3 тыс",89.78,663 тыс,ПН - СР,комедия,RUONLY
ПЕРВАЯ,NMG,12.02.26,664,"8,9 млн",19 тыс,13 тыс,,,664,"7,3 млн",15 тыс,11 тыс,411 тыс,"1,1 тыс",94.41,,,"драма, мелодрама",RUONLY
УНЦИЯ ЖИЗНИ,CS,12.02.26,1,"8,4 тыс",28,"8,4 тыс",,,1,"8,4 тыс",28,"8,4 тыс",,,,,,драма,RUONLY
НЕСВЯТАЯ ВАЛЕНТИНА,AK,05.02.26,846,"7,8 млн",20 тыс,"9,2 тыс",,,846,"4,6 млн",11 тыс,"5,5 тыс","1,5 млн","3,7 тыс",68.16,,,"комедия, мелодрама",RUONLY
РАВИОЛИ ОЛИ,NKI,05.02.26,1842,50 млн,111 тыс,27 тыс,,,1842,29 млн,61 тыс,16 тыс,"8,4 млн",20 тыс,71.36,744 тыс,ПН - СР,комедия,RUONLY
ЗДЕСЬ БЫЛ ЮРА,VLG,05.02.26,414,60 млн,113 тыс,146 тыс,,,414,21 млн,36 тыс,52 тыс,12 млн,23 тыс,42.85,,,"комедия, драма, музыка",RUONLY
ТАЙНА АДМИРАЛА УШАКОВА,SMKT,05.02.26,115,"2,3 млн","8,9 тыс",20 тыс,,,115,562 тыс,"2,1 тыс","4,9 тыс",606 тыс,"2,2 тыс",-7.89,,,"приключения, исторический",RUONLY
ПРАЗДНИК СЕНОКОСА / Куулэй. От кэмэ,SMKT,05.02.26,94,26 млн,57 тыс,276 тыс,,,94,"8,6 млн",19 тыс,91 тыс,"5,7 млн",12 тыс,32.84,,,комедия,RUONLY
ПАПА МОЖЕТ,NKI,29.01.26,1647,46 млн,116 тыс,28 тыс,,,1647,27 млн,63 тыс,16 тыс,11 млн,30 тыс,57.23,,,семейный,RUONLY
КОММЕНТИРУЙ ЭТО,CP,29.01.26,1522,100 млн,219 тыс,66 тыс,,,1522,54 млн,110 тыс,35 тыс,19 млн,42 тыс,64.76,386 тыс,ПН - СР,комедия,RUONLY
ЗОЛОТОЙ ДУБЛЬ,AK,29.01.26,1240,22 млн,55 тыс,18 тыс,,,1240,12 млн,25 тыс,"9,4 тыс","4,5 млн",12 тыс,61.64,55 тыс,ПН - СР,"драма, спорт",RUONLY
БРОНЕНОСЕЦ «ПОТЕМКИН». ПЕРЕВЫПУСК,K24,29.01.26,25,"1,4 млн","2,3 тыс",56 тыс,,,25,373 тыс,764,15 тыс,,,,"1,0 млн",ПН - СР,"драма, исторический",RUONLY
ЛЕВША,AK,22.01.26,2306,293 млн,670 тыс,127 тыс,,,2296,129 млн,272 тыс,56 тыс,62 млн,139 тыс,52.12,,,"экшн, фантастика, приключения",RUONLY
БЛОКАДНЫЕ СУДЬБЫ,VLG,22.01.26,203,"2,6 млн",11 тыс,13 тыс,,,203,650 тыс,"2,3 тыс","3,2 тыс",,,,,,анимация,RUONLY
ШКОЛА БАБЫ ЯГИ,SMKT,22.01.26,215,"1,4 млн","4,3 тыс","6,3 тыс",,,215,969 тыс,"3,0 тыс","4,5 тыс",,,,,,"приключения, семейный",RUONLY
ВЫСОЦКИЙ. НЕИЗВЕСТНЫЕ СТРАНИЦЫ…,SBF,22.01.26,13,397 тыс,806,31 тыс,,,13,90 тыс,195,"6,9 тыс",,,,,,"документальный, биография",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 191. УРОКИ ВОЛШЕБСТВА,VLG,22.01.26,347,"2,5 млн",13 тыс,"7,1 тыс",,,347,793 тыс,"4,0 тыс","2,3 тыс",613 тыс,"3,1 тыс",22.73,,,анимация,RUONLY
КАЗНИТЬ НЕЛЬЗЯ ПОМИЛОВАТЬ / Mercy,-,22.01.26,137,27 млн,62 тыс,194 тыс,,,137,13 млн,28 тыс,95 тыс,"6,7 млн",15 тыс,48.39,,,"фантастика, криминал, драма, триллер, боевик, детектив","US, RUONLY"
ЗАВЕРБОВАННЫЙ,CKINO,15.01.26,305,"1,8 млн","5,3 тыс","5,9 тыс",,,305,901 тыс,"2,7 тыс","3,0 тыс",,,,,,боевик,RUONLY
ДОБРЫЙ ДОКТОР,AK,08.01.26,1471,67 млн,139 тыс,45 тыс,,,1471,47 млн,87 тыс,32 тыс,"9,5 млн",24 тыс,79.69,,,комедия,RUONLY
ЧЕБУРАШКА 2,CP,01.01.26,2484,"6,2 млрд",13 млн,"2,5 млн",,,2484,"2,5 млрд","4,6 млн",988 тыс,"1,3 млрд","2,5 млн",46.9,,,семейный,RUONLY
БУРАТИНО,NMG,01.01.26,2538,"2,4 млрд","4,7 млн",959 тыс,,,2538,"1,0 млрд","1,9 млн",408 тыс,512 млн,979 тыс,50.6,,,сказка,RUONLY
ПРОСТОКВАШИНО,AK,01.01.26,2500,"2,5 млрд","5,0 млн",983 тыс,,,2410,"1,0 млрд","2,0 млн",428 тыс,528 млн,"1,1 млн",48.82,,,"приключения, семейный",RUONLY
ЗА ПАЛЫЧА! 2,CAO,01.01.26,853,26 млн,54 тыс,31 тыс,,,853,14 млн,26 тыс,16 тыс,"3,7 млн","8,3 тыс",72.78,,,комедия,RUONLY
ТРИ БОГАТЫРЯ И СВЕТ КЛИНОМ,VLG,25.12.25,2320,595 млн,"1,4 млн",256 тыс,,,2318,142 млн,358 тыс,61 тыс,156 млн,331 тыс,-9.28,,,анимация,RUONLY
МЕЧТЫ СБЫВАЮТСЯ,LONF,25.12.25,230,799 тыс,"2,4 тыс","3,5 тыс",,,230,585 тыс,"1,8 тыс","2,5 тыс",,,,,,комедия,RUONLY
СНЕГОВИК,NKI,18.12.25,1997,79 млн,237 тыс,39 тыс,,,1997,31 млн,87 тыс,16 тыс,23 млн,69 тыс,25.84,744 тыс,ПН - СР,"комедия, приключения, фэнтези",RUONLY
ЕЛКИ 12,NMG,18.12.25,2317,769 млн,"1,5 млн",332 тыс,,,2317,172 млн,364 тыс,74 тыс,155 млн,323 тыс,9.81,"1,5 млн",ПН - СР,комедия,RUONLY
ГОРЫ ЗОВУТ,SMKT,18.12.25,29,"1,7 млн","3,7 тыс",59 тыс,,,29,"1,4 млн","3,0 тыс",48 тыс,,,,,,документальный,RUONLY
ТРИ КОТА. ПУТЕШЕСТВИЕ ВО ВРЕМЕНИ,NMG,11.12.25,2210,185 млн,513 тыс,84 тыс,,,2210,75 млн,208 тыс,34 тыс,39 млн,110 тыс,47.59,"1,7 млн",ВС - СР,анимация,RUONLY
НЕВЕРОЯТНЫЕ ПРИКЛЮЧЕНИЯ ШУРИКА,CP,11.12.25,1837,299 млн,662 тыс,163 тыс,,,1837,123 млн,266 тыс,67 тыс,67 млн,146 тыс,45.31,289 тыс,ПН - СР,комедия,RUONLY
ТРОПА ГНЕВА,RSP,11.12.25,102,721 тыс,"1,8 тыс","7,1 тыс",,,102,392 тыс,903,"3,8 тыс",164 тыс,403,58.2,,,"приключения, триллер, боевик",RUONLY
СТИЛЯГИ. ПЕРЕВЫПУСК,K24,11.12.25,45,"2,4 млн","3,6 тыс",53 тыс,,,45,740 тыс,"1,2 тыс",16 тыс,301 тыс,367,59.31,828 тыс,ПН - СР,мюзикл,RUONLY
ВОЛЧОК,CP,04.12.25,2010,447 млн,"1,0 млн",222 тыс,,,2010,155 млн,346 тыс,77 тыс,101 млн,222 тыс,34.81,,,приключения,RUONLY
ШАЛЬНАЯ ИМПЕРАТРИЦА,NKI,04.12.25,1518,36 млн,88 тыс,24 тыс,,,1518,20 млн,45 тыс,13 тыс,"7,1 млн",18 тыс,64.38,119 тыс,ПН - СР,комедия,RUONLY
СЕМЬЯНИН,AK,04.12.25,1134,32 млн,75 тыс,28 тыс,,,1134,18 млн,40 тыс,16 тыс,"6,0 млн",15 тыс,67.29,,,"комедия, семейный",RUONLY
РОМАН С ТОГО СВЕТА,SBF,04.12.25,68,810 тыс,"1,8 тыс",12 тыс,,,68,325 тыс,744,"4,8 тыс",,,,,,фантастика,RUONLY
ЕСТЬ ТОЛЬКО МИГ,NMG,27.11.25,2042,54 млн,162 тыс,27 тыс,,,2042,28 млн,73 тыс,14 тыс,"9,4 млн",31 тыс,66.72,,,военный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 189. ТЫДЫЩ В ПРОШЛОЕ!,VLG,27.11.25,415,"3,6 млн",20 тыс,"8,6 тыс",,,415,"1,4 млн","7,2 тыс","3,3 тыс","1,1 млн","5,8 тыс",16.8,,,анимация,RUONLY
ПИСЬМО ДЕДУ МОРОЗУ,AK,27.11.25,1664,93 млн,251 тыс,56 тыс,,,1583,46 млн,117 тыс,29 тыс,24 млн,66 тыс,48.83,,,комедия,RUONLY
ПО-БРАТСКИ,CAO,27.11.25,900,28 млн,66 тыс,31 тыс,,,900,18 млн,39 тыс,19 тыс,"3,2 млн","8,1 тыс",81.56,276 тыс,СБ - ВС,комедия,RUONLY
ОДНА ДОМА 3,CIPA,27.11.25,101,"5,9 млн",14 тыс,58 тыс,,,101,"1,7 млн","3,9 тыс",17 тыс,"1,7 млн","3,9 тыс",2.48,,,"комедия, семейный",RUONLY
ТИК-ТАК,CKINO,27.11.25,239,812 тыс,"3,2 тыс","3,4 тыс",,,239,417 тыс,"1,6 тыс","1,7 тыс",,,,,,"комедия, драма",RUONLY
КСБ: КАК СТАТЬ БОССОМ,SMKT,27.11.25,83,26 млн,51 тыс,310 тыс,,,83,"9,9 млн",20 тыс,119 тыс,"3,9 млн","7,7 тыс",60.59,,,"комедия, криминал",RUONLY
МАША И МЕДВЕДИ,NKI,20.11.25,2281,161 млн,443 тыс,71 тыс,,,2281,83 млн,222 тыс,36 тыс,42 млн,114 тыс,48.79,470 тыс,ПН - СР,"комедия, приключения, сказка",RUONLY
АВИАТОР,AK,20.11.25,2208,166 млн,374 тыс,75 тыс,,,2208,80 млн,165 тыс,36 тыс,40 млн,87 тыс,50.3,986 тыс,ПН - СР,фантастика,RUONLY
НА ВЫБРОС,NMG,20.11.25,288,"1,1 млн","2,9 тыс","3,8 тыс",,,288,720 тыс,"1,8 тыс","2,5 тыс",,,,,,анимация,"RUONLY, CAN"
ВОЛКИ,K24,20.11.25,40,"2,4 млн","8,0 тыс",59 тыс,,,40,646 тыс,"2,3 тыс",16 тыс,346 тыс,"1,2 тыс",46.51,,,драма,RUONLY
ФЕДОР ТОМСКИЙ. ТАЙНА СИБИРСКОГО СТАРЦА,BSD,20.11.25,287,14 млн,41 тыс,48 тыс,,,106,"4,2 млн","9,6 тыс",39 тыс,"3,0 млн","8,1 тыс",29.1,,,"документальный, исторический",RUONLY
НОВОГОДНЕЕ ПИСЬМО,SMKT,20.11.25,109,529 тыс,"2,2 тыс","4,9 тыс",,,109,241 тыс,805,"2,2 тыс",,,,,,"драма, мелодрама",RUONLY
ТЫ НЕ ОДИН,SMKT,20.11.25,50,"2,2 млн",10 тыс,45 тыс,,,50,661 тыс,"2,9 тыс",13 тыс,260 тыс,"1,2 тыс",60.64,,,"приключения, драма",RUONLY
ЯГА НА НАШУ ГОЛОВУ,NMG,13.11.25,2297,254 млн,718 тыс,111 тыс,,,2297,98 млн,263 тыс,43 тыс,65 млн,181 тыс,34.45,951 тыс,ЧТ - ВС,"комедия, семейный",RUONLY
ЛЫСЫЙ НЯНЬ,CP,13.11.25,865,35 млн,95 тыс,40 тыс,,,865,19 млн,49 тыс,22 тыс,"7,9 млн",23 тыс,59.01,,,"комедия, семейный",RUONLY
ИСКУПЛЕНИЕ,KAP,13.11.25,113,"3,6 млн","7,6 тыс",32 тыс,,,113,"1,7 млн","3,0 тыс",15 тыс,409 тыс,849,75.82,,,"драма, ужасы",RUONLY
ВОСКРЕСЕНИЕ,KAP,13.11.25,21,"1,7 млн","2,7 тыс",80 тыс,,,2,433 тыс,638,217 тыс,208 тыс,326,51.94,,,спектакль,RUONLY
СУММА КВАДРАТОВ КАТЕТОВ,KNFT,13.11.25,96,375 тыс,"1,3 тыс","3,9 тыс",,,96,198 тыс,625,"2,1 тыс",,,,,,мелодрама,RUONLY
ПРИСУТСТВИЕ,SMKT,13.11.25,78,"2,9 млн","6,7 тыс",38 тыс,,,78,"1,7 млн","3,8 тыс",22 тыс,573 тыс,"1,3 тыс",66.12,,,"ужасы, триллер, мистика",RUONLY
"РОССИЯ, Я ЛЮБЛЮ ТЕБЯ",SMKT,13.11.25,56,358 тыс,738,"6,4 тыс",,,56,207 тыс,379,"3,7 тыс",,,,,,"комедия, драма",RUONLY
НАШ ПАПА – ДЕД МОРОЗ!,CAO,06.11.25,490,"6,2 млн",18 тыс,13 тыс,,,490,"3,8 млн","9,8 тыс","7,8 тыс",807 тыс,"2,5 тыс",78.89,,,"комедия, семейный",RUONLY
ПУАНТЫ ДЛЯ МОЕЙ МАМЫ,SBF,06.11.25,44,757 тыс,"2,6 тыс",17 тыс,,,44,294 тыс,889,"6,7 тыс",161 тыс,525,45.44,,,мелодрама,RUONLY
ГОЛОСОВОЙ ПОМОЩНИК,CP,06.11.25,1226,79 млн,174 тыс,64 тыс,,,1226,44 млн,89 тыс,36 тыс,13 млн,30 тыс,69.18,,,триллер,RUONLY
ОГНЕННЫЙ МАЛЬЧИК,VLG,06.11.25,221,"3,7 млн","7,7 тыс",17 тыс,,,221,"2,4 млн","4,4 тыс",11 тыс,384 тыс,852,83.95,,,драма,RUONLY
ПОПУТЧИКИ,NKI,06.11.25,1021,"7,9 млн",24 тыс,"7,7 тыс",,,1021,"4,6 млн",12 тыс,"4,5 тыс","1,3 млн","5,3 тыс",72.44,144 тыс,ПН - СР,комедия,RUONLY
МОЙ СЫН,AK,06.11.25,241,"2,2 млн","4,7 тыс","9,2 тыс",,,241,"1,5 млн","2,7 тыс","6,1 тыс",160 тыс,368,89.18,,,драма,RUONLY
