st_id,st_name_ru,st_name_en,st_distrib,st_distrib_idx,st_date_start,st_date_real,st_prev_start,st_prev_end,st_prev_adm,st_prev_box,st_thursday_box,st_thursday_adm,st_thursday_copy,st_1wd_box,st_1wd_adm,st_1wd_copy,st_2wd_box,st_2wd_adm,st_total_box,st_total_adm,st_total_copy,st_genre,st_genre_idx,st_country,st_country_idx,st_rel_id,st_thu_ratio,st_2wd_change,st_1wd_avg,st_total_avg
29198960,ДОМОВЕНОК КУЗЯ 2,,"<a href=""/distributor/show/id/AK"" target=""_blank"">AK</a>",",587,",2026-03-19,2026-03-19,ПН - СР,СР,2304,"1,1 млн",,0,0,276 млн,680 тыс,2452,&nbsp;,&nbsp;,277 млн,683 тыс,2452,"комедия, семейный",",4,11,",RUONLY,",6,",51112,&nbsp;,&nbsp;,112 тыс,113 тыс
29199947,ДОКТОР ГАФ,,"<a href=""/distributor/show/id/CP"" target=""_blank"">CP</a>",",8,",2026-03-19,2026-03-19,&nbsp;,946684800,0,&nbsp;,,0,0,25 млн,62 тыс,1579,&nbsp;,&nbsp;,25 млн,62 тыс,1579,"комедия, приключения",",4,6,",RUONLY,",6,",54924,&nbsp;,&nbsp;,16 тыс,16 тыс
29200068,КАРТИНЫ ДРУЖЕСКИХ СВЯЗЕЙ,,"<a href=""/distributor/show/id/PNR"" target=""_blank"">PNR</a>",",138,",2026-03-19,2026-03-19,ВС,ВС,1526,"2,1 млн",,0,0,"8,2 млн",12 тыс,116,&nbsp;,&nbsp;,10 млн,13 тыс,116,"комедия, драма",",4,10,",RUONLY,",6,",55613,&nbsp;,&nbsp;,71 тыс,89 тыс
29200111,МОИ ТАЕЖНЫЕ КАНИКУЛЫ,,SMKT,",155,",2026-03-19,2026-03-19,&nbsp;,946684800,0,&nbsp;,,0,0,"5,6 млн",13 тыс,83,&nbsp;,&nbsp;,"5,6 млн",13 тыс,83,"приключения, семейный",",6,11,",RUONLY,",6,",56094,&nbsp;,&nbsp;,67 тыс,67 тыс
29199636,КОЛОКОЛ НАДЕЖДЫ,,"<a href=""/distributor/show/id/KNT"" target=""_blank"">KNT</a>",",556,",2026-03-12,2026-03-12,&nbsp;,946684800,0,&nbsp;,,0,0,754 тыс,"3,5 тыс",189,&nbsp;,&nbsp;,754 тыс,"3,5 тыс",189,мелодрама,",16,",RUONLY,",6,",53720,&nbsp;,&nbsp;,"4,0 тыс","4,0 тыс"
29199939,ЖЕМЧУГ,,"<a href=""/distributor/show/id/CAO"" target=""_blank"">CAO</a>",",7,",2026-03-12,2026-03-12,&nbsp;,946684800,0,&nbsp;,,0,0,"5,8 млн",13 тыс,726,&nbsp;,&nbsp;,"5,8 млн",13 тыс,726,"комедия, драма",",4,10,",RUONLY,",6,",54910,&nbsp;,&nbsp;,"7,9 тыс","7,9 тыс"
29200095,ТЕАТР В КИНО: ПРИНЦ И НИЩИЙ,,"<a href=""/distributor/show/id/KAP"" target=""_blank"">KAP</a>",",588,",2026-03-12,2026-03-14,&nbsp;,946684800,0,&nbsp;,,0,0,565 тыс,"1,1 тыс",39,&nbsp;,&nbsp;,565 тыс,"1,1 тыс",39,спектакль,",29,",RUONLY,",6,",55824,&nbsp;,&nbsp;,14 тыс,14 тыс
29200096,"МОЙ ПАРЕНЬ, МАНЕКЕН",,"<a href=""/distributor/show/id/SBF"" target=""_blank"">SBF</a>",",500,",2026-03-12,2026-03-12,&nbsp;,946684800,0,&nbsp;,,0,0,64 тыс,168 ,13,&nbsp;,&nbsp;,64 тыс,168 ,13,"приключения, мелодрама, фэнтези",",6,16,22,",RUONLY,",6,",55828,&nbsp;,&nbsp;,"4,9 тыс","4,9 тыс"
29200100,ПРИКОСНОВЕНИЕ. ПЕРЕВЫПУСК,,"<a href=""/distributor/show/id/CIPA"" target=""_blank"">CIPA</a>",",612,",2026-03-12,2026-03-12,&nbsp;,946684800,0,&nbsp;,,0,0,478 тыс,828 ,34,&nbsp;,&nbsp;,478 тыс,828 ,34,"ужасы, триллер, мистика",",13,18,30,",RUONLY,",6,",55848,&nbsp;,&nbsp;,14 тыс,14 тыс
29198851,НОВАЯ ТЕЩА,,"<a href=""/distributor/show/id/CP"" target=""_blank"">CP</a>",",8,",2026-03-05,2026-03-05,&nbsp;,946684800,0,&nbsp;,,0,0,140 млн,277 тыс,1956,61 млн,126 тыс,304 млн,635 тыс,1956,комедия,",4,",RUONLY,",6,",50792,&nbsp;,56.36,71 тыс,156 тыс
