r-table__text,movie-rating__financing-source src,fixed-column,r-table__text href,r-table__text 3,r-table__text 4,r-table__text 5,r-table__text 6,r-table__text 7,r-table__text 8,r-table__text 9,r-table__text 10
1,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чебурашка,https://ekinobilet.fond-kino.ru/films/detail/111036822,"АО ""ВБД Груп""",01.01.2023,-,361 002 855,42.5%,849 631 173,6 787 288 125,22 429 982
2,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чебурашка 2,https://ekinobilet.fond-kino.ru/films/detail/111048725,"АО ""ВБД ГРУП""",01.01.2026,200 000 000,200 000 000,26.7%,1 499 492 792,6 051 739 319,11 891 381
3,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Холоп 2,https://ekinobilet.fond-kino.ru/films/detail/111036223,"АО ""ВБД ГРУП""",01.01.2024,150 000 000,300 000 000,56.2%,801 041 270,3 842 888 835,9 865 308
4,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Волшебник Изумрудного города. Дорога из жёлтого кирпича,https://ekinobilet.fond-kino.ru/films/detail/111050824,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",01.01.2025,-,630 000 000,64.5%,976 329 889,3 345 528 808,7 218 705
5,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Холоп,https://ekinobilet.fond-kino.ru/films/detail/111021719,"ООО ""МЕМ""",26.12.2019,25 000 000,35 000 000,37.5%,160 000 000,3 082 037 759,11 672 437
6,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Бременские музыканты,https://ekinobilet.fond-kino.ru/films/detail/111037623,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",01.01.2024,-,700 000 000,63.6%,1 100 974 480,3 036 173 058,8 446 490
7,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Движение вверх,https://ekinobilet.fond-kino.ru/films/detail/111011817,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",28.12.2017,-,400 000 000,67.8%,590 192 191,2 949 677 837,11 929 419
8,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Финист. Первый богатырь,https://ekinobilet.fond-kino.ru/films/detail/111051024,"АО ""ВБД ГРУП""",01.01.2025,-,500 000 000,45.3%,1 102 768 308,2 741 151 910,6 153 163
9,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,По щучьему велению,https://ekinobilet.fond-kino.ru/films/detail/111030623,"ООО ""КИНОКОМПАНИЯ ""СТВ""",26.10.2023,-,350 000 000,53.0%,660 000 000,2 490 714 879,8 648 439
10,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Буратино,https://ekinobilet.fond-kino.ru/films/detail/111048625,"ООО ""ВОДОРОД 2011""",01.01.2026,140 000 000,710 000 000,65.4%,1 300 000 000,2 399 133 303,4 634 677
11,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Мастер и Маргарита,https://ekinobilet.fond-kino.ru/films/detail/111034423,"ООО ""ПРОФИТ""",25.01.2024,-,600 000 000,48.7%,1 233 254 125,2 330 796 150,5 581 453
12,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Т-34,https://ekinobilet.fond-kino.ru/films/detail/111024918,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",01.01.2019,60 000 000,120 000 000,31.9%,563 784 717,2 272 396 132,8 824 639
13,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Последний богатырь: Посланник тьмы,https://ekinobilet.fond-kino.ru/films/detail/111032621,"АО ""ВБД ГРУП""",23.12.2021,100 000 000,-,21.5%,465 154 846,2 204 872 518,7 288 320
14,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Вызов,https://ekinobilet.fond-kino.ru/films/detail/111009023,"ООО ""СТАРТ СТУДИО""",20.04.2023,-,500 000 000,52.8%,946 570 006,2 140 581 588,6 733 045
15,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Последний богатырь: Корень зла,https://ekinobilet.fond-kino.ru/films/detail/111021720,"АО ""ВБД ГРУП""",01.01.2021,100 000 000,100 000 000,32.8%,609 229 989,2 051 278 967,7 159 071
16,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Лёд 3,https://ekinobilet.fond-kino.ru/films/detail/111002024,"ООО ""АРТ ПИКЧЕРС СТУДИЯ""",14.02.2024,-,250 000 000,41.7%,600 000 000,1 856 036 847,5 196 649
17,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Последний богатырь,https://ekinobilet.fond-kino.ru/films/detail/111007017,"АО ""ВБД ГРУП""",19.10.2017,50 000 000,50 000 000,28.4%,352 477 575,1 663 841 925,7 363 668
18,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Пророк. История Александра Пушкина,https://ekinobilet.fond-kino.ru/films/detail/111001825,"ООО ""ЦЕНТРАЛ ПАРТНЕРШИП""",14.02.2025,-,500 000 000,62.5%,799 730 110,1 636 958 571,3 489 979
19,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Август (Момент истины),https://ekinobilet.fond-kino.ru/films/detail/111046325/111037025,"АО ""ДИРЕКЦИЯ КИНО""",25.09.2025,-,600 000 000,69.8%,860 000 000,1 563 488 851,3 596 282
20,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Горыныч,https://ekinobilet.fond-kino.ru/films/detail/111040225,"ООО ""КИНОКОМПАНИЯ ""СТВ""",23.10.2025,-,520 000 000,58.4%,890 000 000,1 537 531 059,4 073 388
21,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Сто лет тому вперёд,https://ekinobilet.fond-kino.ru/films/detail/111010224,"ООО ""ВОДОРОД 2011""",18.04.2024,50 000 000,565 000 000,68.3%,900 000 000,1 532 751 947,4 309 794
22,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Викинг,https://ekinobilet.fond-kino.ru/films/detail/111018416/111018516,"АО ""ДИРЕКЦИЯ КИНО""",29.12.2016,115 000 000,613 000 000,59.4%,1 224 661 889,1 500 537 181,5 665 869
23,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Лёд 2,https://ekinobilet.fond-kino.ru/films/detail/111001220,"ООО ""ВОДОРОД 2011""",14.02.2020,75 000 000,150 000 000,56.3%,400 000 000,1 471 479 967,6 012 452
24,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Лёд,https://ekinobilet.fond-kino.ru/films/detail/111000518,"ООО ""ВОДОРОД 2011""",14.02.2018,25 000 000,60 000 000,57.2%,148 585 222,1 446 694 997,6 052 735
25,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Экипаж,https://ekinobilet.fond-kino.ru/films/detail/111005416,"ООО ""СТУДИЯ ""ТРИТЭ"" НИКИТЫ МИХАЛКОВА""",21.04.2016,50 000 000,392 104 482,69.6%,635 283 867,1 407 382 913,5 001 627
26,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Огниво,https://ekinobilet.fond-kino.ru/films/detail/111041424,"ООО ""КИНОКОМПАНИЯ ""СТВ""",24.10.2024,-,300 000 000,42.3%,710 000 000,1 189 195 593,3 639 209
27,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Конек-Горбунок,https://ekinobilet.fond-kino.ru/films/detail/111001321,"ООО ""КИНОКОМПАНИЯ ""СТВ""",18.02.2021,-,400 000 000,48.7%,821 157 640,1 177 032 141,4 815 109
